id,indra_time,reading_time,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gama,mid-gama,signal_quality
12,2015-05-0923:13:42.281,2015-05-0916:13:40.954,944412.0,111373.0,52404.0,28390.0,3237.0,32728.0,4845.0,2036.0,200
12,2015-05-0923:13:43.186,2015-05-0916:13:41.964,1793049.0,89551.0,3896.0,21727.0,9301.0,16096.0,3496.0,643.0,200
12,2015-05-0923:13:44.392,2015-05-0916:13:42.950,400192.0,640624.0,153087.0,69733.0,98854.0,199537.0,66993.0,51772.0,200
12,2015-05-0923:13:45.297,2015-05-0916:13:43.935,681192.0,138630.0,67891.0,26459.0,592240.0,171435.0,164399.0,41765.0,200
12,2015-05-0923:13:46.201,2015-05-0916:13:44.936,268406.0,197772.0,190654.0,266433.0,91683.0,200452.0,107585.0,57841.0,200
12,2015-05-0923:13:47.104,2015-05-0916:13:45.937,314183.0,120068.0,138114.0,53890.0,335070.0,215349.0,95444.0,172670.0,200
12,2015-05-0923:13:48.308,2015-05-0916:13:46.940,102705.0,103033.0,53771.0,51600.0,31966.0,30933.0,26086.0,23298.0,200
12,2015-05-0923:13:49.212,2015-05-0916:13:47.949,629925.0,413423.0,130957.0,62414.0,21797.0,123356.0,70575.0,67885.0,200
12,2015-05-0923:13:50.118,2015-05-0916:13:48.911,536622.0,273382.0,68365.0,173574.0,142326.0,143461.0,86999.0,15912.0,200
12,2015-05-0923:13:51.321,2015-05-0916:13:49.910,1006255.0,61183.0,63598.0,58674.0,52984.0,101554.0,75619.0,48129.0,200
12,2015-05-0923:13:52.224,2015-05-0916:13:50.930,1007803.0,96427.0,285339.0,175395.0,143130.0,137048.0,161958.0,68124.0,200
12,2015-05-0923:13:53.126,2015-05-0916:13:51.901,700031.0,1160578.0,656538.0,128705.0,241307.0,371052.0,455502.0,99660.0,200
12,2015-05-0923:13:54.330,2015-05-0916:13:52.900,158779.0,109845.0,2475.0,15662.0,65672.0,87834.0,36362.0,22938.0,200
12,2015-05-0923:13:55.234,2015-05-0916:13:53.905,1003200.0,206996.0,6511.0,44440.0,62760.0,132805.0,58709.0,55043.0,200
12,2015-05-0923:13:56.139,2015-05-0916:13:54.887,727361.0,428847.0,149404.0,56542.0,123762.0,54668.0,45426.0,59590.0,200
12,2015-05-0923:13:57.342,2015-05-0916:13:55.905,228088.0,165013.0,172986.0,92917.0,64278.0,82667.0,148645.0,39442.0,200
12,2015-05-0923:13:58.245,2015-05-0916:13:56.911,834852.0,236055.0,142740.0,53304.0,345034.0,175330.0,495817.0,68060.0,200
12,2015-05-0923:13:59.150,2015-05-0916:13:57.873,781319.0,199954.0,99069.0,43748.0,185985.0,56859.0,26568.0,47266.0,200
12,2015-05-0923:14:00.054,2015-05-0916:13:58.879,166790.0,1017772.0,14900.0,150062.0,45207.0,140967.0,140910.0,81206.0,200
12,2015-05-0923:14:01.259,2015-05-0916:13:59.894,696525.0,153276.0,113698.0,253947.0,307553.0,189330.0,66520.0,98005.0,200
12,2015-05-0923:14:02.163,2015-05-0916:14:00.862,359841.0,565630.0,13546.0,127970.0,310301.0,184389.0,112355.0,101895.0,200
12,2015-05-0923:14:03.067,2015-05-0916:14:01.864,289259.0,241441.0,124619.0,139158.0,112768.0,194043.0,139304.0,106146.0,200
12,2015-05-0923:14:04.272,2015-05-0916:14:02.867,1204491.0,162897.0,71263.0,50296.0,441659.0,345905.0,127960.0,36150.0,200
12,2015-05-0923:14:05.179,2015-05-0916:14:03.851,1968195.0,243295.0,91307.0,166994.0,128181.0,91297.0,94052.0,42468.0,200
2,2015-05-0923:14:05.860,2015-05-0916:14:04.979,76508.0,184230.0,39313.0,9991.0,12040.0,42152.0,8274.0,5997.0,200
12,2015-05-0923:14:06.083,2015-05-0916:14:04.852,1893547.0,172367.0,62619.0,38564.0,25797.0,114492.0,76724.0,46732.0,200
2,2015-05-0923:14:07.068,2015-05-0916:14:05.979,1608306.0,952520.0,448113.0,192759.0,160248.0,94171.0,181119.0,95044.0,200
12,2015-05-0923:14:07.290,2015-05-0916:14:05.839,1786606.0,295951.0,50394.0,103483.0,473592.0,412984.0,80599.0,70521.0,200
2,2015-05-0923:14:07.981,2015-05-0916:14:07.002,434036.0,97112.0,15783.0,185642.0,30468.0,47505.0,33084.0,20209.0,200
12,2015-05-0923:14:08.188,2015-05-0916:14:06.855,1062702.0,289641.0,80184.0,180502.0,204510.0,260488.0,55924.0,46913.0,200
2,2015-05-0923:14:08.887,2015-05-0916:14:07.973,781039.0,520601.0,60971.0,235655.0,73143.0,87682.0,31438.0,20871.0,200
12,2015-05-0923:14:09.092,2015-05-0916:14:07.861,306159.0,33892.0,54094.0,24552.0,5192.0,25948.0,2097.0,1090.0,200
2,2015-05-0923:14:09.790,2015-05-0916:14:08.960,75961.0,371626.0,140184.0,109395.0,110326.0,66095.0,62240.0,25835.0,200
12,2015-05-0923:14:09.997,2015-05-0916:14:08.825,1214424.0,1545673.0,134561.0,369296.0,910848.0,276366.0,127390.0,45824.0,200
2,2015-05-0923:14:10.997,2015-05-0916:14:09.962,691911.0,130408.0,75415.0,34035.0,16456.0,31009.0,20122.0,6655.0,200
12,2015-05-0923:14:11.204,2015-05-0916:14:09.827,808281.0,216467.0,43757.0,104144.0,351737.0,108973.0,45931.0,13445.0,200
12,2015-05-0923:14:12.108,2015-05-0916:14:10.829,530942.0,58720.0,3550.0,33633.0,47570.0,16463.0,2369.0,1039.0,200
2,2015-05-0923:14:12.251,2015-05-0916:14:10.949,713383.0,132373.0,80142.0,17980.0,92811.0,37549.0,8452.0,25247.0,200
12,2015-05-0923:14:13.013,2015-05-0916:14:11.830,219441.0,164526.0,70424.0,50557.0,51020.0,18717.0,1833.0,1448.0,200
2,2015-05-0923:14:13.159,2015-05-0916:14:11.952,900104.0,101814.0,23849.0,9269.0,41205.0,31662.0,20852.0,6259.0,200
2,2015-05-0923:14:14.017,2015-05-0916:14:12.928,23389.0,12216.0,11544.0,2862.0,1751.0,2870.0,3634.0,1893.0,200
12,2015-05-0923:14:14.218,2015-05-0916:14:12.824,985333.0,337828.0,226374.0,85213.0,373569.0,112302.0,18394.0,11474.0,200
2,2015-05-0923:14:14.925,2015-05-0916:14:13.941,1089050.0,168274.0,140815.0,111502.0,50875.0,98603.0,23503.0,19762.0,200
12,2015-05-0923:14:15.121,2015-05-0916:14:13.817,1048243.0,238811.0,75236.0,70580.0,286912.0,49264.0,7375.0,4086.0,200
2,2015-05-0923:14:15.832,2015-05-0916:14:14.912,2042785.0,124661.0,36005.0,116967.0,24056.0,107248.0,45746.0,34584.0,200
12,2015-05-0923:14:16.023,2015-05-0916:14:14.804,658618.0,80729.0,49699.0,61424.0,90623.0,197355.0,84004.0,52743.0,200
2,2015-05-0923:14:16.736,2015-05-0916:14:15.928,140149.0,137358.0,68564.0,62072.0,34643.0,8031.0,12509.0,8048.0,200
12,2015-05-0923:14:17.228,2015-05-0916:14:15.819,140081.0,153315.0,68842.0,15936.0,74047.0,39362.0,3190.0,312.0,200
12,2015-05-0923:14:18.131,2015-05-0916:14:16.822,1150862.0,128907.0,77421.0,19080.0,35389.0,115872.0,2814.0,937.0,200
2,2015-05-0923:14:18.197,2015-05-0916:14:16.901,1689484.0,394354.0,162069.0,432857.0,189860.0,559023.0,183903.0,111016.0,200
12,2015-05-0923:14:19.037,2015-05-0916:14:17.806,158703.0,11527.0,857.0,11850.0,4700.0,4608.0,931.0,303.0,200
2,2015-05-0923:14:19.107,2015-05-0916:14:17.914,1176760.0,506407.0,109076.0,169778.0,126753.0,490685.0,189943.0,162853.0,200
2,2015-05-0923:14:20.017,2015-05-0916:14:18.898,1825839.0,268549.0,125309.0,261931.0,228776.0,260747.0,129825.0,133552.0,200
12,2015-05-0923:14:20.241,2015-05-0916:14:18.791,189548.0,47614.0,3688.0,23515.0,8586.0,21451.0,2700.0,1364.0,200
12,2015-05-0923:14:21.144,2015-05-0916:14:19.810,260304.0,1640992.0,90384.0,244806.0,415072.0,196124.0,50256.0,11696.0,200
2,2015-05-0923:14:21.245,2015-05-0916:14:19.880,994301.0,474186.0,150310.0,222926.0,250458.0,338043.0,792672.0,106734.0,200
12,2015-05-0923:14:22.048,2015-05-0916:14:20.779,124937.0,700106.0,550713.0,274964.0,172449.0,420634.0,90515.0,101272.0,200
2,2015-05-0923:14:22.149,2015-05-0916:14:20.884,2752602.0,746339.0,218063.0,403715.0,139503.0,175176.0,203026.0,271787.0,200
2,2015-05-0923:14:22.786,2015-05-0916:14:21.899,278253.0,226156.0,59755.0,57686.0,115048.0,118249.0,103333.0,80595.0,200
12,2015-05-0923:14:22.951,2015-05-0916:14:21.779,430537.0,24449.0,89325.0,43632.0,88321.0,197242.0,20971.0,40160.0,200
2,2015-05-0923:14:23.688,2015-05-0916:14:22.882,156224.0,40084.0,1028.0,21613.0,10264.0,16987.0,15098.0,11966.0,200
12,2015-05-0923:14:24.154,2015-05-0916:14:22.779,1754701.0,134511.0,61680.0,106806.0,98747.0,62533.0,12136.0,8533.0,200
2,2015-05-0923:14:24.894,2015-05-0916:14:23.876,2658628.0,430305.0,909243.0,504631.0,100628.0,373503.0,229333.0,306811.0,200
12,2015-05-0923:14:25.059,2015-05-0916:14:23.791,285549.0,214706.0,265904.0,181754.0,40168.0,101737.0,117401.0,98040.0,200
5,2015-05-0923:14:25.211,2015-05-0916:14:24.426,352303.0,181172.0,36723.0,2913.0,26279.0,14073.0,10478.0,6215.0,200
2,2015-05-0923:14:25.787,2015-05-0916:14:24.880,3232056.0,1199347.0,295919.0,214880.0,153305.0,604377.0,321441.0,124455.0,200
12,2015-05-0923:14:25.961,2015-05-0916:14:24.785,1092502.0,742544.0,187989.0,404173.0,136903.0,216294.0,292310.0,90153.0,200
5,2015-05-0923:14:26.417,2015-05-0916:14:25.411,1452672.0,87967.0,7970.0,22860.0,24581.0,19762.0,16129.0,10710.0,200
2,2015-05-0923:14:26.693,2015-05-0916:14:25.860,1076369.0,404956.0,545631.0,155737.0,216860.0,88275.0,145135.0,154457.0,200
12,2015-05-0923:14:27.166,2015-05-0916:14:25.754,1115991.0,733477.0,89486.0,248204.0,303173.0,376016.0,439541.0,213036.0,200
5,2015-05-0923:14:27.319,2015-05-0916:14:26.430,615703.0,299552.0,19689.0,3273.0,11009.0,17897.0,5305.0,8552.0,200
2,2015-05-0923:14:27.899,2015-05-0916:14:26.891,231602.0,66312.0,17509.0,27727.0,18392.0,31851.0,13742.0,26592.0,200
12,2015-05-0923:14:28.070,2015-05-0916:14:26.771,243786.0,25519.0,10581.0,6792.0,4778.0,13637.0,3455.0,1044.0,200
5,2015-05-0923:14:28.221,2015-05-0916:14:27.411,133345.0,41603.0,30962.0,14797.0,13286.0,24916.0,13917.0,5696.0,200
2,2015-05-0923:14:28.803,2015-05-0916:14:27.856,594807.0,166731.0,46963.0,341263.0,221158.0,149860.0,145206.0,154713.0,200
12,2015-05-0923:14:28.974,2015-05-0916:14:27.757,1712525.0,637647.0,57475.0,149841.0,97534.0,246905.0,24405.0,8112.0,200
5,2015-05-0923:14:29.424,2015-05-0916:14:28.422,1777509.0,215241.0,47030.0,39562.0,14544.0,14881.0,12669.0,5483.0,200
2,2015-05-0923:14:29.869,2015-05-0916:14:28.846,1513666.0,554667.0,209977.0,117380.0,128117.0,217709.0,157483.0,163965.0,200
12,2015-05-0923:14:30.179,2015-05-0916:14:28.766,2552773.0,169199.0,72676.0,62153.0,104752.0,58180.0,6525.0,3727.0,200
5,2015-05-0923:14:30.329,2015-05-0916:14:29.400,231998.0,150017.0,96596.0,40863.0,32347.0,25906.0,28968.0,33987.0,200
2,2015-05-0923:14:30.777,2015-05-0916:14:29.832,447872.0,1747537.0,575309.0,370507.0,297437.0,194933.0,268396.0,59025.0,200
12,2015-05-0923:14:31.083,2015-05-0916:14:29.758,1064158.0,278655.0,232694.0,69069.0,293187.0,105555.0,12520.0,8256.0,200
5,2015-05-0923:14:31.233,2015-05-0916:14:30.383,2091281.0,2392841.0,69647.0,1349491.0,243173.0,413675.0,562072.0,184112.0,200
2,2015-05-0923:14:31.829,2015-05-0916:14:30.834,146398.0,267186.0,6752.0,79124.0,215491.0,104671.0,105339.0,45241.0,200
12,2015-05-0923:14:31.987,2015-05-0916:14:30.747,474841.0,947953.0,228801.0,335711.0,75655.0,235048.0,27876.0,19134.0,200
5,2015-05-0923:14:32.435,2015-05-0916:14:31.398,642890.0,180494.0,37636.0,136158.0,20495.0,36801.0,57592.0,5237.0,200
