# Date,Brent Oil,Gold
198705,18.58,461.65
198706,18.86,449.282
198707,19.86,450.33
198708,18.98,460.988
198709,18.31,460.12
198710,18.76,465.764
198711,17.78,468.14
198712,17.05,487.079
198801,16.75,477.758
198802,15.73,442.124
198803,14.73,443.491
198804,16.6,451.558
198805,16.31,451.32
198806,15.54,451.657
198807,14.91,437.452
198808,14.89,431.064
198809,13.18,413.439
198810,12.41,406.39
198811,13.02,419.966
198812,15.31,419.248
198901,17.17,404.445
198902,16.89,387.973
198903,18.7,390.274
198904,20.32,384.72
198905,18.63,371.35
198906,17.67,367.727
198907,17.62,375.21
198908,16.77,365.548
198909,17.77,361.798
198910,18.91,366.8
198911,18.73,394.361
198912,19.84,409.655
199001,21.25,410.118
199002,19.81,416.543
199003,18.39,393.661
199004,16.61,374.929
199005,16.35,368.855
199006,15.1,352.657
199007,17.17,361.82
199008,27.17,394.861
199009,34.9,389.56
199010,36.02,381.333
199011,33.07,381.866
199012,28.27,378.161
199101,23.57,384.591
199102,19.54,363.748
199103,19.08,363.39
199104,19.18,358.055
199105,19.19,357.117
199106,18.17,366.36
199107,19.4,368.013
199108,19.77,356.721
199109,20.5,348.46
199110,22.21,358.826
199111,21.11,359.96
199112,18.41,361.875
199201,18.16,354.436
199202,18.05,353.853
199203,17.63,344.641
199204,18.92,338.728
199205,19.89,337.039
199206,21.16,340.784
199207,20.24,352.452
199208,19.74,343.603
199209,20.27,345.3
199210,20.26,344.277
199211,19.21,334.924
199212,18.14,334.657
199301,17.39,328.993
199302,18.47,329.31
199303,18.79,329.974
199304,18.67,341.948
199305,18.51,367.045
199306,17.65,371.914
199307,16.78,392.034
199308,16.7,379.795
199309,16.01,355.561
199310,16.61,364.005
199311,15.2,373.939
199312,13.73,383.243
199401,14.29,387.11
199402,13.8,381.658
199403,13.82,384
199404,15.23,377.908
199405,16.19,381.343
199406,16.76,385.714
199407,17.6,385.45
199408,16.89,380.207
199409,15.9,391.348
199410,16.49,390.164
199411,17.19,384.377
199412,15.93,379.48
199501,16.55,378.738
199502,17.11,376.745
199503,17.01,381.82
199504,18.65,391.339
199505,18.35,385.231
199506,17.31,387.618
199507,15.85,386.138
199508,16.1,383.502
199509,16.7,382.931
199510,16.11,383.202
199511,16.86,385.209
199512,17.93,387.445
199601,17.85,398.695
199602,18,404.919
199603,19.85,396.512
199604,20.9,392.87
199605,19.15,391.99
199606,18.46,385.245
199607,19.57,383.457
199608,20.51,387.51
199609,22.63,383.29
199610,24.16,380.909
199611,22.76,377.869
199612,23.78,369.338
199701,23.54,355.025
199702,20.85,346.4
199703,19.13,352.311
199704,17.56,344.707
199705,19.02,344.1
199706,17.58,340.805
199707,18.46,323.78
199708,18.6,323.998
199709,18.46,322.616
199710,19.87,324.863
199711,19.17,306.345
199712,17.18,288.776
199801,15.19,289.264
199802,14.07,297.743
199803,13.1,295.87
199804,13.53,308.558
199805,14.36,298.971
199806,12.21,292.223
199807,12.08,292.874
199808,11.91,284.228
199809,13.34,288.661
199810,12.7,296.595
199811,11.04,294.243
199812,9.82,291.357
199901,11.11,287.333
199902,10.27,287.495
199903,12.51,286.243
199904,15.29,282.62
199905,15.23,276.932
199906,15.86,261.402
199907,19.08,256.198
199908,20.22,256.936
199909,22.54,264.47
199910,22,311.562
199911,24.58,293.65
199912,25.47,283.743
200001,25.51,284.59
200002,27.78,300.855
200003,27.49,286.704
200004,22.76,279.961
200005,27.74,275.293
200006,29.8,285.368
200007,28.68,282.152
200008,30.2,274.523
200009,33.14,273.676
200010,30.96,270.405
200011,32.55,265.989
200012,25.66,271.892
200101,25.62,265.934
200102,27.5,262.018
200103,24.5,263.273
200104,25.66,260.75
200105,28.31,272.057
200106,27.85,270.738
200107,24.61,267.707
200108,25.68,272.657
200109,25.62,282.478
200110,20.54,283.322
200111,18.8,276.248
200112,18.71,275.992
200201,19.42,281.764
200202,20.28,295.683
200203,23.7,294.353
200204,25.73,302.862
200205,25.35,314.48
200206,24.08,321.536
200207,25.74,313.567
200208,26.65,310.045
200209,28.4,318.8
200210,27.54,316.748
200211,24.34,319.255
200212,28.33,333.3
200301,31.18,356.864
200302,32.77,359.575
200303,30.61,341.564
200304,25,328.208
200305,25.86,355.405
200306,27.65,356.912
200307,28.35,350.765
200308,29.89,358.993
200309,27.11,378.859
200310,29.61,379.093
200311,28.75,390.2
200312,29.81,407.674
200401,31.28,414.495
200402,30.86,404.73
200403,33.63,405.976
200404,33.59,404.85
200405,37.57,383.953
200406,35.18,391.78
200407,38.22,398.441
200408,42.74,400.133
200409,43.2,405.402
200410,49.78,420.21
200411,43.11,439.059
200412,39.6,442.974
200501,44.51,424.08
200502,45.48,423.43
200503,53.1,434.355
200504,51.88,429.14
200505,48.65,422.903
200506,54.35,430.302
200507,57.52,424.745
200508,63.98,437.773
200509,62.91,455.936
200510,58.54,470.107
200511,55.24,476.668
200512,56.86,509.423
200601,62.99,549.433
200602,60.21,555.518
200603,62.06,557.215
200604,70.26,611.853
200605,69.78,676.769
200606,68.56,597.898
200607,73.67,633.093
200608,73.23,631.557
200609,61.96,600.15
200610,57.81,586.648
200611,58.76,626.825
200612,62.47,629.513
200701,53.68,630.352
200702,57.56,665.103
200703,62.05,655.891
200704,67.49,680.008
200705,67.21,668.31
200706,71.05,655.714
200707,76.93,665.266
200708,70.76,664.53
200709,77.17,710.645
200710,82.34,754.48
200711,92.41,808.311
200712,90.93,803.618
200801,92.18,887.784
200802,94.99,924.283
200803,103.64,971.055
200804,109.07,911.6
200805,122.8,889.125
200806,132.32,889.536
200807,132.72,941.167
200808,113.24,840.388
200809,97.23,824.92
200810,71.58,812.815
200811,52.45,757.85
200812,39.95,819.94
200901,43.44,857.726
200902,43.32,939.763
200903,46.54,925.989
200904,50.18,892.663
200905,57.3,926.855
200906,68.61,947.807
200907,64.44,934.272
200908,72.51,949.5
200909,67.65,996.443
200910,72.77,1043.511
200911,76.66,1126.119
200912,74.46,1135.012
201001,76.17,1119.575
201002,73.75,1095.8
201003,78.83,1115.554
201004,84.82,1148.475
201005,75.95,1204.321
201006,74.76,1232.382
201007,75.58,1196
201008,77.04,1213.464
201009,77.84,1271.461
201010,82.67,1343.19
201011,85.28,1371.784
201012,91.45,1393.512
201101,96.52,1360.475
201102,103.72,1371.313
201103,114.64,1422.848
201104,123.26,1474.431
201105,114.99,1512.188
201106,113.83,1528.38
201107,116.97,1568.526
201108,110.22,1759.5
201109,112.83,1780.648
201110,109.55,1667.893
201111,110.77,1735.977
201112,107.87,1652.725
201201,110.69,1656.095
201202,119.33,1743.095
201203,125.45,1675.057
201204,119.75,1648.539
201205,110.34,1585.114
201206,95.16,1595.632
201207,102.62,1592.784
201208,113.36,1625.682
201209,112.86,1741.925
201210,111.71,1746.348
201211,109.06,1724.352
201212,109.49,1687.342
201301,112.96,1671.886
201302,116.05,1630.688
201303,108.47,1591.013
201304,102.25,1485.905
201305,102.56,1416.143
201306,102.92,1342.7
201307,107.93,1284.348
201308,111.28,1345.048
201309,111.6,1348.464
201310,109.08,1314.402
201311,107.79,1277.417
201312,110.76,1221.588
201401,108.12,1243.068
201402,108.9,1298.713
201403,107.48,1336.56
201404,107.76,1299.175
201405,109.54,1288.913
201406,111.8,1277.857
