Date,Monthly Mean Total Sunspot Number,Mean
188001,40.1,0.0009
188002,45.4,0.1229
188003,32.1,0.1357
188004,32.4,0.0499
188005,39.1,0.0738
188006,56.9,0.1692
188007,36.5,0.1491
188008,80.3,0.0725
188009,110.1,0.0817
188010,71.7,0.1786
188011,51.1,0.2672
188012,49.4,0.0775
188101,60.6,0.0205
188102,88.6,0.0296
188103,85.8,0.0348
188104,86.1,0.0734
188105,72.5,0.0284
188106,100.8,0.0892
188107,128.2,0.0329
188108,97.3,0.0519
188109,88.6,0.1824
188110,107.3,0.2207
188111,91.5,0.2194
188112,78.8,0.0439
188201,75.0,0.0883
188202,115.9,0.0385
188203,111.5,0.0754
188204,159.6,0.1241
188205,106.9,0.1459
188206,75.4,0.1391
188207,75.7,0.0666
188208,67.5,0.0037
188209,96.1,0.0077
188210,98.6,0.2101
188211,140.6,0.1279
188212,69.7,0.1705
188301,101.0,0.2707
188302,78.2,0.2915
188303,71.3,0.1326
188304,136.8,0.1746
188305,52.5,0.1455
188306,127.2,0.0066
188307,134.4,0.0849
188308,76.6,0.0526
188309,87.8,0.1467
188310,139.6,0.1612
188311,140.8,0.1683
188312,126.5,0.0738
188401,152.6,0.1843
188402,144.8,0.1430
188403,145.8,0.2061
188404,126.9,0.1809
188405,110.9,0.1282
188406,85.3,0.1939
188407,88.5,0.2985
188408,93.1,0.2698
188409,103.1,0.2238
188410,79.6,0.1695
188411,60.9,0.2692
188412,78.6,0.1440
188501,71.4,0.4267
188502,119.7,0.2558
188503,82.9,0.1473
188504,91.7,0.2564
188505,121.6,0.2787
188506,139.5,0.3052
188507,110.9,0.2375
188508,83.5,0.2407
188509,66.0,0.1963
188510,64.5,0.1289
188511,51.6,0.1262
188512,36.3,0.0500
188601,49.8,0.1143
188602,43.2,0.2795
188603,95.5,0.2823
188604,72.9,0.1679
188605,51.2,0.1573
188606,45.3,0.2468
188607,50.4,0.1599
188608,28.1,0.2146
188609,35.7,0.1969
188610,14.4,0.2261
188611,0.6,0.1952
188612,21.7,0.1630
188701,17.0,0.3792
188702,22.0,0.3745
188703,7.1,0.1655
188704,11.6,0.1899
188705,33.4,0.2390
188706,26.1,0.2149
188707,38.9,0.2707
188708,35.7,0.3148
188709,12.4,0.1827
188710,11.0,0.2995
188711,11.5,0.1572
188712,34.5,0.1988
188801,21.2,0.3871
188802,11.8,0.3288
188803,13.1,0.2974
188804,8.5,0.1761
188805,11.7,0.1561
188806,11.8,0.0943
188807,5.0,0.1149
188808,4.6,0.1633
188809,14.6,0.0690
188810,3.4,0.0190
188811,17.9,0.0418
188812,11.1,0.0445
188901,1.3,0.0944
188902,14.2,0.0152
188903,11.1,0.1207
188904,7.3,0.0496
188905,4.0,0.0326
188906,10.8,0.0698
188907,15.8,0.1604
188908,34.3,0.1370
188909,10.9,0.2264
188910,3.4,0.1913
188911,0.3,0.2769
188912,11.2,0.1750
189001,8.8,0.3594
189002,1.1,0.4268
189003,8.5,0.3189
189004,2.7,0.2588
189005,7.9,0.3892
189006,2.2,0.2875
189007,19.3,0.2802
189008,14.2,0.3257
189009,28.6,0.3508
189010,18.6,0.2941
189011,15.9,0.3419
189012,13.1,0.2302
189101,22.5,0.3772
189102,36.9,0.5228
189103,17.2,0.2120
189104,34.2,0.2523
189105,68.5,0.1374
189106,80.4,0.2023
189107,98.0,0.2264
189108,55.1,0.2313
189109,89.7,0.1514
189110,86.0,0.2861
189111,69.8,0.3968
189112,54.3,0.0421
189201,115.2,0.2372
189202,126.1,0.1353
189203,83.3,0.3032
189204,116.0,0.3203
189205,132.7,0.3081
189206,127.3,0.2831
189207,127.6,0.3497
189208,169.0,0.3279
189209,104.7,0.2198
189210,117.5,0.2464
189211,108.9,0.4728
189212,131.0,0.4708
189301,125.0,0.6796
189302,121.6,0.6107
189303,109.5,0.2218
189304,146.8,0.3500
189305,141.3,0.3421
189306,149.8,0.2405
189307,147.6,0.2018
189308,215.4,0.3281
189309,129.9,0.2587
189310,133.3,0.2099
189311,125.2,0.1657
189312,156.4,0.2452
189401,138.6,0.4360
189402,141.0,0.2215
189403,87.1,0.2064
189404,136.0,0.3023
189405,168.7,0.3018
189406,164.8,0.3487
189407,176.7,0.2738
189408,117.1,0.2735
189409,110.0,0.2531
189410,125.7,0.2135
189411,94.3,0.2979
189412,100.1,0.2412
189501,105.4,0.4389
189502,112.0,0.4136
189503,101.6,0.2879
189504,128.2,0.1868
189505,112.5,0.2076
189506,119.1,0.2938
189507,79.7,0.2010
189508,114.9,0.2243
189509,96.1,0.1329
189510,113.2,0.1317
189511,78.6,0.1602
189512,117.9,0.0690
189601,48.4,0.1056
189602,95.7,0.0789
189603,86.5,0.2079
189604,73.0,0.2660
189605,46.1,0.1042
189606,81.7,0.0925
189607,75.2,0.0509
189608,45.4,0.0723
189609,102.2,0.0679
189610,47.9,0.0056
189611,63.3,0.1659
189612,71.0,0.0490
189701,67.6,0.1857
189702,49.0,0.1086
189703,48.7,0.1863
189704,51.7,0.0032
189705,33.3,0.0256
189706,18.9,0.1000
189707,46.1,0.0401
189708,36.4,0.0735
189709,80.4,0.0247
189710,23.9,0.1608
189711,14.0,0.2619
189712,55.5,0.2989
189801,50.4,0.0399
189802,60.7,0.2785
189803,63.9,0.6515
189804,24.2,0.3467
189805,43.0,0.2887
189806,37.1,0.2078
189807,15.0,0.2426
189808,52.3,0.2306
189809,58.1,0.1968
189810,57.1,0.3234
189811,51.6,0.2417
189812,21.1,0.0073
189901,32.4,0.1005
189902,15.3,0.2787
189903,30.3,0.2549
189904,23.6,0.1946
189905,12.9,0.1203
189906,34.1,0.1977
189907,22.5,0.1259
189908,4.9,0.0664
189909,14.0,0.0307
189910,21.7,0.0241
189911,13.0,0.1523
189912,17.6,0.1656
190001,15.7,0.2404
190002,22.8,0.0934
190003,14.4,0.0402
190004,26.8,0.0985
190005,25.3,0.0371
190006,20.1,0.0450
190007,13.9,0.0728
190008,7.1,0.0708
190009,13.9,0.0600
190010,21.6,0.0464
190011,7.5,0.1345
190012,0.5,0.0320
190101,0.4,0.1259
190102,4.0,0.0741
190103,7.4,0.0327
190104,0.0,0.0646
190105,17.0,0.1248
190106,9.7,0.1273
190107,1.2,0.1563
190108,1.7,0.1299
190109,0.9,0.2059
190110,6.3,0.2786
190111,6.4,0.1425
190112,0.0,0.2372
190201,9.3,0.0856
190202,0.0,0.0409
190203,20.7,0.1954
190204,0.0,0.2697
190205,4.7,0.2616
190206,2.4,0.3324
190207,1.5,0.2902
190208,3.8,0.2643
190209,12.6,0.2315
190210,27.2,0.2821
190211,17.2,0.3430
190212,1.8,0.3592
190301,13.9,0.2101
190302,28.4,0.0800
190303,22.5,0.2755
190304,43.5,0.3540
190305,24.3,0.3912
190306,27.2,0.3759
190307,46.4,0.3340
190308,48.0,0.4296
190309,18.5,0.3756
190310,64.8,0.4357
190311,74.2,0.3950
190312,76.2,0.3861
190401,52.6,0.5416
190402,40.8,0.4670
190403,61.9,0.5129
190404,71.6,0.4717
190405,65.7,0.4282
190406,69.8,0.4403
