Date  ,Monthly Mean Total Sunspot Number,0
188001,40.1,0.3
188002,45.4,0.21
188003,32.1,0.18
188004,32.4,0.27
188005,39.1,0.14
188006,56.9,0.29
188007,36.5,0.24
188008,80.3,0.08
188009,110.1,0.17
188010,71.7,0.16
188011,51.1,0.19
188012,49.4,0.22
188101,60.6,0.1
188102,88.6,0.14
188103,85.8,0.01
188104,86.1,0.03
188105,72.5,0.04
188106,100.8,0.28
188107,128.2,0.07
188108,97.3,0.03
188109,88.6,0.09
188110,107.3,0.2
188111,91.5,0.26
188112,78.8,0.16
188201,75.0,0.09
188202,115.9,0.08
188203,111.5,0.01
188204,159.6,0.2
188205,106.9,0.18
188206,75.4,0.25
188207,75.7,0.11
188208,67.5,0.03
188209,96.1,0.01
188210,98.6,0.23
188211,140.6,0.21
188212,69.7,0.25
188301,101.0,0.34
188302,78.2,0.42
188303,71.3,0.18
188304,136.8,0.25
188305,52.5,0.26
188306,127.2,0.13
188307,134.4,0.09
188308,76.6,0.14
188309,87.8,0.19
188310,139.6,0.12
188311,140.8,0.21
188312,126.5,0.19
188401,152.6,0.18
188402,144.8,0.13
188403,145.8,0.36
188404,126.9,0.36
188405,110.9,0.32
188406,85.3,0.38
188407,88.5,0.35
188408,93.1,0.27
188409,103.1,0.24
188410,79.6,0.22
188411,60.9,0.3
188412,78.6,0.3
188501,71.4,0.66
188502,119.7,0.3
188503,82.9,0.24
188504,91.7,0.45
188505,121.6,0.42
188506,139.5,0.5
188507,110.9,0.29
188508,83.5,0.27
188509,66.0,0.19
188510,64.5,0.2
188511,51.6,0.22
188512,36.3,0.07
188601,49.8,0.43
188602,43.2,0.46
188603,95.5,0.41
188604,72.9,0.29
188605,51.2,0.27
188606,45.3,0.39
188607,50.4,0.16
188608,28.1,0.31
188609,35.7,0.19
188610,14.4,0.25
188611,0.6,0.26
188612,21.7,0.25
188701,17.0,0.66
188702,22.0,0.48
188703,7.1,0.32
188704,11.6,0.37
188705,33.4,0.33
188706,26.1,0.21
188707,38.9,0.19
188708,35.7,0.28
188709,12.4,0.19
188710,11.0,0.32
188711,11.5,0.25
188712,34.5,0.38
188801,21.2,0.43
188802,11.8,0.43
188803,13.1,0.47
188804,8.5,0.28
188805,11.7,0.22
188806,11.8,0.2
188807,5.0,0.1
188808,4.6,0.11
188809,14.6,0.07
188810,3.4,0.01
188811,17.9,0.0
188812,11.1,0.12
188901,1.3,0.21
188902,14.2,0.14
188903,11.1,0.04
188904,7.3,0.04
188905,4.0,0.03
188906,10.8,0.12
188907,15.8,0.05
188908,34.3,0.18
188909,10.9,0.18
188910,3.4,0.22
188911,0.3,0.32
188912,11.2,0.31
189001,8.8,0.48
189002,1.1,0.48
189003,8.5,0.41
189004,2.7,0.38
189005,7.9,0.48
189006,2.2,0.27
189007,19.3,0.3
189008,14.2,0.36
189009,28.6,0.36
189010,18.6,0.23
189011,15.9,0.37
189012,13.1,0.3
189101,22.5,0.46
189102,36.9,0.49
189103,17.2,0.15
189104,34.2,0.25
189105,68.5,0.17
189106,80.4,0.22
189107,98.0,0.22
189108,55.1,0.21
189109,89.7,0.13
189110,86.0,0.24
189111,69.8,0.37
189112,54.3,0.03
189201,115.2,0.26
189202,126.1,0.15
189203,83.3,0.36
189204,116.0,0.35
189205,132.7,0.25
189206,127.3,0.2
189207,127.6,0.28
189208,169.0,0.2
189209,104.7,0.25
189210,117.5,0.17
189211,108.9,0.49
189212,131.0,0.29
189301,125.0,0.69
189302,121.6,0.51
189303,109.5,0.24
189304,146.8,0.32
189305,141.3,0.35
189306,149.8,0.24
189307,147.6,0.14
189308,215.4,0.24
189309,129.9,0.18
189310,133.3,0.16
189311,125.2,0.17
189312,156.4,0.38
189401,138.6,0.55
189402,141.0,0.31
189403,87.1,0.2
189404,136.0,0.41
189405,168.7,0.3
189406,164.8,0.43
189407,176.7,0.32
189408,117.1,0.29
189409,110.0,0.23
189410,125.7,0.17
189411,94.3,0.25
189412,100.1,0.22
189501,105.4,0.44
189502,112.0,0.42
189503,101.6,0.3
189504,128.2,0.23
189505,112.5,0.23
189506,119.1,0.25
189507,79.7,0.16
189508,114.9,0.16
189509,96.1,0.02
189510,113.2,0.11
189511,78.6,0.15
189512,117.9,0.12
189601,48.4,0.23
189602,95.7,0.15
189603,86.5,0.29
189604,73.0,0.33
189605,46.1,0.19
189606,81.7,0.13
189607,75.2,0.06
189608,45.4,0.09
189609,102.2,0.05
189610,47.9,0.04
189611,63.3,0.16
189612,71.0,0.12
189701,67.6,0.22
189702,49.0,0.19
189703,48.7,0.12
189704,51.7,0.01
189705,33.3,0.0
189706,18.9,0.12
189707,46.1,0.04
189708,36.4,0.03
189709,80.4,0.04
189710,23.9,0.1
189711,14.0,0.18
189712,55.5,0.26
189801,50.4,0.06
189802,60.7,0.34
189803,63.9,0.55
189804,24.2,0.33
189805,43.0,0.35
189806,37.1,0.2
189807,15.0,0.22
189808,52.3,0.22
189809,58.1,0.19
189810,57.1,0.32
189811,51.6,0.35
189812,21.1,0.22
189901,32.4,0.18
189902,15.3,0.39
189903,30.3,0.35
189904,23.6,0.21
189905,12.9,0.2
189906,34.1,0.26
189907,22.5,0.13
189908,4.9,0.04
189909,14.0,0.0
189910,21.7,0.0
189911,13.0,0.12
189912,17.6,0.27
190001,15.7,0.4
190002,22.8,0.08
190003,14.4,0.02
190004,26.8,0.14
190005,25.3,0.06
190006,20.1,0.15
190007,13.9,0.09
190008,7.1,0.04
190009,13.9,0.01
190010,21.6,0.08
190011,7.5,0.13
190012,0.5,0.14
190101,0.4,0.3
